Well,ct_sc2,ct_flua,ct_flub,ct_rsv
A1,No Ct,No Ct,No Ct,No Ct
A10,No Ct,No Ct,No Ct,No Ct
A11,27.92,30.2,No Ct,26.36
A12,No Ct,No Ct,28.29,No Ct
A13,No Ct,No Ct,No Ct,No Ct
A14,No Ct,29.68,No Ct,26.26
A15,No Ct,29.75,28.28,No Ct
A16,28.18,31.12,No Ct,26.17
A17,No Ct,No Ct,No Ct,25.58
A18,No Ct,No Ct,No Ct,No Ct
A19,No Ct,No Ct,No Ct,No Ct
A2,No Ct,29.96,No Ct,26.53
A20,No Ct,No Ct,27.58,No Ct
A21,27.44,No Ct,26.57,No Ct
A22,No Ct,No Ct,No Ct,No Ct
A23,27.76,30.98,No Ct,26.23
A24,No Ct,No Ct,28.1,No Ct
A3,No Ct,29.74,28.36,No Ct
A4,28.15,31.33,No Ct,26.3
A5,No Ct,No Ct,No Ct,25.71
A6,No Ct,No Ct,No Ct,No Ct
A7,No Ct,No Ct,No Ct,No Ct
A8,No Ct,No Ct,27.67,No Ct
A9,27.23,No Ct,26.74,No Ct
B1,No Ct,30.11,No Ct,26.23
B10,No Ct,30.09,No Ct,25.74
B11,No Ct,29.75,28.26,No Ct
B12,No Ct,No Ct,No Ct,No Ct
B13,No Ct,29.82,No Ct,25.86
B14,No Ct,No Ct,27.83,No Ct
B15,No Ct,29.69,No Ct,No Ct
B16,No Ct,No Ct,No Ct,No Ct
B17,No Ct,No Ct,26.62,No Ct
B18,27.93,No Ct,No Ct,25.98
B19,28,No Ct,No Ct,No Ct
B2,No Ct,No Ct,27.75,No Ct
B20,No Ct,No Ct,No Ct,No Ct
B21,27.67,No Ct,27.8,25.98
B22,No Ct,30.06,No Ct,25.86
B23,No Ct,30.11,28.31,No Ct
B24,No Ct,No Ct,No Ct,No Ct
B3,No Ct,29.65,No Ct,No Ct
B4,No Ct,No Ct,No Ct,No Ct
B5,No Ct,No Ct,27.04,No Ct
B6,27.81,No Ct,No Ct,25.62
B7,27.67,No Ct,No Ct,No Ct
B8,No Ct,No Ct,No Ct,No Ct
B9,27.64,No Ct,27.77,26.05
C1,No Ct,No Ct,26.99,26.2
C10,No Ct,No Ct,28.18,No Ct
C11,No Ct,No Ct,No Ct,26.05
C12,27.48,No Ct,No Ct,No Ct
C13,No Ct,No Ct,26.92,26.35
C14,No Ct,No Ct,No Ct,No Ct
C15,No Ct,29.52,No Ct,No Ct
C16,No Ct,No Ct,27.91,25.76
C17,No Ct,No Ct,No Ct,No Ct
C18,No Ct,29.54,No Ct,No Ct
C19,No Ct,No Ct,No Ct,26.57
C2,No Ct,No Ct,No Ct,No Ct
C20,No Ct,No Ct,No Ct,No Ct
C21,27.84,29.65,26.84,No Ct
C22,No Ct,No Ct,28.15,No Ct
C23,No Ct,No Ct,No Ct,25.83
C24,27.7,No Ct,No Ct,No Ct
C3,No Ct,29.63,No Ct,No Ct
C4,No Ct,No Ct,27.95,26.21
C5,No Ct,No Ct,No Ct,No Ct
C6,No Ct,29.8,No Ct,No Ct
C7,No Ct,No Ct,No Ct,26.58
C8,No Ct,No Ct,No Ct,No Ct
C9,27.74,29.58,27.17,No Ct
D1,No Ct,No Ct,No Ct,No Ct
D10,No Ct,No Ct,No Ct,No Ct
D11,27.98,30.71,No Ct,26.31
D12,No Ct,No Ct,28.17,No Ct
D13,No Ct,No Ct,No Ct,No Ct
D14,No Ct,30.11,No Ct,25.91
D15,No Ct,29.92,28.35,No Ct
D16,27.91,31.4,No Ct,25.95
D17,No Ct,No Ct,No Ct,25.26
D18,No Ct,No Ct,No Ct,No Ct
D19,No Ct,No Ct,No Ct,No Ct
D2,No Ct,30.38,No Ct,26.47
D20,No Ct,No Ct,27.75,No Ct
D21,27.31,No Ct,26.48,No Ct
D22,No Ct,No Ct,No Ct,No Ct
D23,28.11,30.42,No Ct,26.26
D24,No Ct,No Ct,28,No Ct
D3,No Ct,29.69,28.19,No Ct
D4,28.4,31.01,No Ct,25.91
D5,No Ct,No Ct,No Ct,25.47
D6,No Ct,No Ct,No Ct,No Ct
D7,No Ct,No Ct,No Ct,No Ct
D8,No Ct,No Ct,28.02,No Ct
D9,27.36,No Ct,26.87,No Ct
E1,No Ct,29.88,No Ct,26.28
E10,No Ct,29.95,No Ct,25.53
E11,No Ct,29.62,28.16,No Ct
E12,No Ct,No Ct,No Ct,No Ct
E13,No Ct,30.46,No Ct,26.01
E14,No Ct,No Ct,27.68,No Ct
E15,No Ct,29.37,No Ct,No Ct
E16,No Ct,No Ct,No Ct,No Ct
E17,No Ct,No Ct,26.42,No Ct
E18,27.81,No Ct,No Ct,25.47
E19,27.76,No Ct,No Ct,No Ct
E2,No Ct,No Ct,27.82,No Ct
E20,No Ct,No Ct,No Ct,No Ct
E21,27.68,No Ct,27.75,26.34
E22,No Ct,30.19,No Ct,25.57
E23,No Ct,29.93,28.08,No Ct
E24,No Ct,No Ct,No Ct,No Ct
E3,No Ct,29.6,No Ct,No Ct
E4,No Ct,No Ct,No Ct,No Ct
E5,No Ct,No Ct,26.86,No Ct
E6,27.73,No Ct,No Ct,25.56
E7,27.63,No Ct,No Ct,No Ct
E8,No Ct,No Ct,No Ct,No Ct
E9,27.26,No Ct,27.67,26.1
F1,No Ct,No Ct,27,26.26
F10,No Ct,No Ct,28.1,No Ct
F11,No Ct,No Ct,No Ct,25.86
F12,28.04,No Ct,No Ct,No Ct
F13,No Ct,No Ct,27,26.27
F14,No Ct,No Ct,No Ct,No Ct
F15,No Ct,29.59,No Ct,No Ct
F16,No Ct,No Ct,27.77,25.64
F17,No Ct,No Ct,No Ct,No Ct
F18,No Ct,29.26,No Ct,No Ct
F19,No Ct,No Ct,No Ct,26.22
F2,No Ct,No Ct,No Ct,No Ct
F20,No Ct,No Ct,No Ct,No Ct
F21,27.93,29.5,26.87,No Ct
F22,No Ct,No Ct,28.17,No Ct
F23,No Ct,No Ct,No Ct,26.22
F24,27.88,No Ct,No Ct,No Ct
F3,No Ct,29.54,No Ct,No Ct
F4,No Ct,No Ct,28.14,26.29
F5,No Ct,No Ct,No Ct,No Ct
F6,No Ct,29.81,No Ct,No Ct
F7,No Ct,No Ct,No Ct,26.12
F8,No Ct,No Ct,No Ct,No Ct
F9,27.71,29.27,27.03,No Ct
G1,28.18,31.63,28.7,26.97
G10,28.05,31.85,28.42,26.31
G11,28.02,31.79,28.5,26.21
G12,28.13,30.95,28.37,26.56
G13,28.28,32.1,28.74,26.89
G14,28.26,32.18,28.73,26.64
G15,28.25,31.92,28.54,26.53
G16,28.29,31.89,28.72,26.33
G17,27.95,31.99,28.28,26.38
G18,28.42,31.89,28.6,26.32
G19,27.96,31.68,28.5,26.55
G2,27.97,32.26,28.46,26.58
G20,28.23,32.1,28.54,26.83
G21,28.05,32.21,28.28,26.34
G22,28.21,29.94,28.84,26.56
G23,28.28,31.42,28.33,26.88
G24,28.07,32.17,28.51,26.82
G3,28.25,32.07,28.69,26.2
G4,28.33,31.79,28.27,26.77
G5,28.3,31.22,28.46,26.17
G6,28.29,32.15,28.42,26.48
G7,28.29,31.86,28.69,26.5
G8,28.35,31.37,28.69,26.7
G9,28.29,31.35,28.85,26.33
H1,28.07,31.84,28.57,26.63
H10,28.05,32.12,28.48,26.77
H11,28.01,31.8,29.05,26.83
H12,28.18,31.21,28.61,26.89
H13,28.15,32.43,28.49,26.36
H14,28.11,32.3,28.49,26.38
H15,28.1,32.6,28.22,26.24
H16,28,31.58,28.5,26.63
H17,28.15,32.19,28.56,26.35
H18,28.17,32.52,28.07,26.4
H19,28.05,31.86,28.4,26.95
H2,28.34,32.84,28.73,26.16
H20,27.85,31.93,28.75,26.72
H21,27.76,31.75,28.79,26.49
H22,28.37,30.27,28.74,26.47
H23,27.78,31.94,28.3,26.76
H24,28.35,32.15,28.62,26.6
H3,28.2,32.76,28.91,26.53
H4,28.32,32.17,28.79,26.44
H5,27.8,31.75,28.54,26.41
H6,28.19,31.65,28.66,26.36
H7,28.22,32.71,28.3,26.02
H8,27.62,32.32,28.58,26.14
H9,27.8,32.21,28.59,26.39
I1,27.11,No Ct,29.74,No Ct
I10,No Ct,No Ct,27.07,29.14
I11,No Ct,No Ct,No Ct,No Ct
I12,27.21,29.33,29.06,25.76
I13,27.11,No Ct,30.15,No Ct
I14,29.64,35.68,No Ct,25.47
I15,No Ct,No Ct,27.18,No Ct
I16,No Ct,No Ct,No Ct,No Ct
I17,No Ct,No Ct,No Ct,No Ct
