"","well","amount_covid","amount_flu_a","amount_flu_b","amount_rsv"
"1","A1","575","1550","0","500"
"2","A2","25","25","975","0"
"3","A3","0","0","0","0"
"4","A4","0","0","0","100"
"5","A5","0","225","150","600"
"6","A6","425","1075","975","375"
"7","A7","0","900","0","0"
"8","A8","0","0","0","650"
"9","A9","1475","0","975","0"
"10","A10","25","0","0","0"
"11","A11","425","1075","0","600"
"12","A12","0","0","0","0"
"13","B1","0","1125","1200","500"
"14","B2","975","1550","150","650"
"15","B3","500","0","0","0"
"16","B4","0","0","975","0"
"17","B5","575","25","0","475"
"18","B6","0","0","750","0"
"19","B7","0","900","0","0"
"20","B8","25","0","0","100"
"21","B9","0","0","975","650"
"22","B10","975","0","0","875"
"23","B11","500","1550","750","0"
"24","B12","0","0","0","600"
"25","C1","425","1075","0","0"
"26","C2","575","225","975","0"
"27","C3","0","25","375","0"
"28","C4","0","25","750","1250"
"29","C5","0","0","975","0"
"30","C6","1425","1300","0","0"
"31","C7","500","0","150","500"
"32","C8","0","1550","225","100"
"33","C9","0","0","0","0"
"34","C10","0","900","0","0"
"35","C11","575","0","0","0"
"36","C12","0","0","975","375"
"37","D1","575","1550","0","500"
"38","D2","25","25","975","0"
"39","D3","0","0","0","0"
"40","D4","0","0","0","100"
"41","D5","0","225","150","600"
"42","D6","425","1075","975","375"
"43","D7","0","900","0","0"
"44","D8","0","0","0","650"
"45","D9","1475","0","975","0"
"46","D10","25","0","0","0"
"47","D11","425","1075","0","600"
"48","D12","0","0","0","0"
"49","E1","0","1125","1200","500"
"50","E2","975","1550","150","650"
"51","E3","500","0","0","0"
"52","E4","0","0","975","0"
"53","E5","575","25","0","475"
"54","E6","0","0","750","0"
"55","E7","0","900","0","0"
"56","E8","25","0","0","100"
"57","E9","0","0","975","650"
"58","E10","975","0","0","875"
"59","E11","500","1550","750","0"
"60","E12","0","0","0","600"
"61","F1","425","1075","0","0"
"62","F2","575","225","975","0"
"63","F3","0","25","375","0"
"64","F4","0","25","750","1250"
"65","F5","0","0","975","0"
"66","F6","1425","1300","0","0"
"67","F7","500","0","150","500"
"68","F8","0","1550","225","100"
"69","F9","0","0","0","0"
"70","F10","0","900","0","0"
"71","F11","575","0","0","0"
"72","F12","0","0","975","375"
"73","G1",NA,NA,NA,NA
"74","G2",NA,NA,NA,NA
"75","G3",NA,NA,NA,NA
"76","G4",NA,NA,NA,NA
"77","G5",NA,NA,NA,NA
"78","G6",NA,NA,NA,NA
"79","G7",NA,NA,NA,NA
"80","G8",NA,NA,NA,NA
"81","G9",NA,NA,NA,NA
"82","G10",NA,NA,NA,NA
"83","G11",NA,NA,NA,NA
"84","G12",NA,NA,NA,NA
"85","H1",NA,NA,NA,NA
"86","H2",NA,NA,NA,NA
"87","H3",NA,NA,NA,NA
"88","H4",NA,NA,NA,NA
"89","H5",NA,NA,NA,NA
"90","H6",NA,NA,NA,NA
"91","H7",NA,NA,NA,NA
"92","H8",NA,NA,NA,NA
"93","H9",NA,NA,NA,NA
"94","H10",NA,NA,NA,NA
"95","H11",NA,NA,NA,NA
"96","H12",NA,NA,NA,NA
"97","A13","575","1550","0","500"
"98","A14","25","25","975","0"
"99","A15","0","0","0","0"
"100","A16","0","0","0","100"
"101","A17","0","225","150","600"
"102","A18","425","1075","975","375"
"103","A19","0","900","0","0"
"104","A20","0","0","0","650"
"105","A21","1475","0","975","0"
"106","A22","25","0","0","0"
"107","A23","425","1075","0","600"
"108","A24","0","0","0","0"
"109","B13","0","1125","1200","500"
"110","B14","975","1550","150","650"
"111","B15","500","0","0","0"
"112","B16","0","0","975","0"
"113","B17","575","25","0","475"
"114","B18","0","0","750","0"
"115","B19","0","900","0","0"
"116","B20","25","0","0","100"
"117","B21","0","0","975","650"
"118","B22","975","0","0","875"
"119","B23","500","1550","750","0"
"120","B24","0","0","0","600"
"121","C13","425","1075","0","0"
"122","C14","575","225","975","0"
"123","C15","0","25","375","0"
"124","C16","0","25","750","1250"
"125","C17","0","0","975","0"
"126","C18","1425","1300","0","0"
"127","C19","500","0","150","500"
"128","C20","0","1550","225","100"
"129","C21","0","0","0","0"
"130","C22","0","900","0","0"
"131","C23","575","0","0","0"
"132","C24","0","0","975","375"
"133","D13","575","1550","0","500"
"134","D14","25","25","975","0"
"135","D15","0","0","0","0"
"136","D16","0","0","0","100"
"137","D17","0","225","150","600"
"138","D18","425","1075","975","375"
"139","D19","0","900","0","0"
"140","D20","0","0","0","650"
"141","D21","1475","0","975","0"
"142","D22","25","0","0","0"
"143","D23","425","1075","0","600"
"144","D24","0","0","0","0"
"145","E13","0","1125","1200","500"
"146","E14","975","1550","150","650"
"147","E15","500","0","0","0"
"148","E16","0","0","975","0"
"149","E17","575","25","0","475"
"150","E18","0","0","750","0"
"151","E19","0","900","0","0"
"152","E20","25","0","0","100"
"153","E21","0","0","975","650"
"154","E22","975","0","0","875"
"155","E23","500","1550","750","0"
"156","E24","0","0","0","600"
"157","F13","425","1075","0","0"
"158","F14","575","225","975","0"
"159","F15","0","25","375","0"
"160","F16","0","25","750","1250"
"161","F17","0","0","975","0"
"162","F18","1425","1300","0","0"
"163","F19","500","0","150","500"
"164","F20","0","1550","225","100"
"165","F21","0","0","0","0"
"166","F22","0","900","0","0"
"167","F23","575","0","0","0"
"168","F24","0","0","975","375"
"169","G13",NA,NA,NA,NA
"170","G14",NA,NA,NA,NA
"171","G15",NA,NA,NA,NA
"172","G16",NA,NA,NA,NA
"173","G17",NA,NA,NA,NA
"174","G18",NA,NA,NA,NA
"175","G19",NA,NA,NA,NA
"176","G20",NA,NA,NA,NA
"177","G21",NA,NA,NA,NA
"178","G22",NA,NA,NA,NA
"179","G23",NA,NA,NA,NA
"180","G24",NA,NA,NA,NA
"181","H13",NA,NA,NA,NA
"182","H14",NA,NA,NA,NA
"183","H15",NA,NA,NA,NA
"184","H16",NA,NA,NA,NA
"185","H17",NA,NA,NA,NA
"186","H18",NA,NA,NA,NA
"187","H19",NA,NA,NA,NA
"188","H20",NA,NA,NA,NA
"189","H21",NA,NA,NA,NA
"190","H22",NA,NA,NA,NA
"191","H23",NA,NA,NA,NA
"192","H24",NA,NA,NA,NA
"193","I1","0","1675","0","425"
"194","I2","0","0","0","0"
"195","I3","900","475","525","625"
"196","I4","0","0","1475","0"
"197","I5","0","0","0","775"
"198","I6","1000","725","0","0"
"199","I7","975","0","0","0"
"200","I8","0","0","150","1475"
"201","I9","100","0","1325","825"
"202","I10","0","0","150","1425"
"203","I11","500","725","25","775"
"204","I12","0","0","1325","0"
"205","J1","1100","0","0","1250"
"206","J2","300","625","500","50"
"207","J3","975","0","800","0"
"208","J4","0","325","0","0"
"209","J5","100","1200","0","0"
"210","J6","0","0","675","625"
"211","J7","300","475","0","0"
"212","J8","0","0","1325","625"
"213","J9","975","0","675","875"
"214","J10","0","0","25","425"
"215","J11","0","625","0","0"
