Well,ct_sc2,ct_flua,ct_flub,ct_rsv
A1,No Ct,No Ct,No Ct,No Ct
A10,No Ct,No Ct,No Ct,No Ct
A11,27.43,30.41,No Ct,26.42
A12,No Ct,No Ct,28.14,No Ct
A13,No Ct,No Ct,No Ct,No Ct
A14,No Ct,30.02,No Ct,26.52
A15,No Ct,30.09,28.36,No Ct
A16,27.81,31.58,No Ct,26.44
A17,No Ct,No Ct,No Ct,26.05
A18,No Ct,No Ct,No Ct,No Ct
A19,No Ct,No Ct,No Ct,No Ct
A2,No Ct,30.37,No Ct,26.53
A20,No Ct,No Ct,27.92,No Ct
A21,27.75,No Ct,27.13,No Ct
A22,No Ct,No Ct,No Ct,No Ct
A23,27.59,30.51,No Ct,26.25
A24,No Ct,No Ct,28.24,No Ct
A3,No Ct,29.99,28.43,No Ct
A4,28.06,31.3,No Ct,26.64
A5,No Ct,No Ct,No Ct,25.79
A6,No Ct,No Ct,No Ct,No Ct
A7,No Ct,No Ct,No Ct,No Ct
A8,No Ct,No Ct,28.01,No Ct
A9,27.64,No Ct,26.89,No Ct
B1,No Ct,30.31,No Ct,26.41
B10,No Ct,30.18,No Ct,25.79
B11,No Ct,29.91,28.58,No Ct
B12,No Ct,No Ct,No Ct,No Ct
B13,No Ct,30.46,No Ct,26.18
B14,No Ct,No Ct,28.09,No Ct
B15,No Ct,29.85,No Ct,No Ct
B16,No Ct,No Ct,No Ct,No Ct
B17,No Ct,No Ct,27.14,No Ct
B18,28.17,No Ct,No Ct,25.7
B19,27.77,No Ct,No Ct,No Ct
B2,No Ct,No Ct,28.11,No Ct
B20,No Ct,No Ct,No Ct,No Ct
B21,28.09,No Ct,28.13,26.36
B22,No Ct,30.62,No Ct,26.12
B23,No Ct,30.15,28.48,No Ct
B24,No Ct,No Ct,No Ct,No Ct
B3,No Ct,29.85,No Ct,No Ct
B4,No Ct,No Ct,No Ct,No Ct
B5,No Ct,No Ct,27.22,No Ct
B6,28.11,No Ct,No Ct,25.7
B7,27.62,No Ct,No Ct,No Ct
B8,No Ct,No Ct,No Ct,No Ct
B9,27.8,No Ct,28.11,26.01
C1,No Ct,No Ct,27.07,26.24
C10,No Ct,No Ct,28.17,No Ct
C11,No Ct,No Ct,No Ct,25.7
C12,27.49,No Ct,No Ct,No Ct
C13,No Ct,No Ct,26.82,26.13
C14,No Ct,No Ct,No Ct,No Ct
C15,No Ct,29.89,No Ct,No Ct
C16,No Ct,No Ct,27.74,26.21
C17,No Ct,No Ct,No Ct,No Ct
C18,No Ct,30.03,No Ct,No Ct
C19,No Ct,No Ct,No Ct,26.08
C2,No Ct,No Ct,No Ct,No Ct
C20,No Ct,No Ct,No Ct,No Ct
C21,27.66,29.51,27.21,No Ct
C22,No Ct,No Ct,28.4,No Ct
C23,No Ct,No Ct,No Ct,25.55
C24,27.73,No Ct,No Ct,No Ct
C3,No Ct,29.64,No Ct,No Ct
C4,No Ct,No Ct,28.01,26.17
C5,No Ct,No Ct,No Ct,No Ct
C6,No Ct,29.78,No Ct,No Ct
C7,No Ct,No Ct,No Ct,26.01
C8,No Ct,No Ct,No Ct,No Ct
C9,28.08,29.85,26.95,No Ct
D1,No Ct,No Ct,No Ct,No Ct
D10,No Ct,No Ct,No Ct,No Ct
D11,28.04,30.88,No Ct,26.19
D12,No Ct,No Ct,28.33,No Ct
D13,No Ct,No Ct,No Ct,No Ct
D14,No Ct,30.27,No Ct,26.39
D15,No Ct,30.1,28.72,No Ct
D16,28.13,31.54,No Ct,25.89
D17,No Ct,No Ct,No Ct,25.73
D18,No Ct,No Ct,No Ct,No Ct
D19,No Ct,No Ct,No Ct,No Ct
D2,No Ct,30.25,No Ct,26.36
D20,No Ct,No Ct,27.73,No Ct
D21,27.99,No Ct,26.99,No Ct
D22,No Ct,No Ct,No Ct,No Ct
D23,27.85,31.26,No Ct,26.05
D24,No Ct,No Ct,28.17,No Ct
D3,No Ct,30.06,28.56,No Ct
D4,28.3,31.76,No Ct,26.1
D5,No Ct,No Ct,No Ct,25.72
D6,No Ct,No Ct,No Ct,No Ct
D7,No Ct,No Ct,No Ct,No Ct
D8,No Ct,No Ct,27.92,No Ct
D9,27.52,No Ct,26.99,No Ct
E1,No Ct,30.12,No Ct,26.05
E10,No Ct,30.13,No Ct,25.57
E11,No Ct,29.82,28.36,No Ct
E12,No Ct,No Ct,No Ct,No Ct
E13,No Ct,30.44,No Ct,26
E14,No Ct,No Ct,27.99,No Ct
E15,No Ct,29.62,No Ct,No Ct
E16,No Ct,No Ct,No Ct,No Ct
E17,No Ct,No Ct,26.79,No Ct
E18,28.06,No Ct,No Ct,25.8
E19,27.63,No Ct,No Ct,No Ct
E2,No Ct,No Ct,28.1,No Ct
E20,No Ct,No Ct,No Ct,No Ct
E21,27.54,No Ct,27.82,26.53
E22,No Ct,30.32,No Ct,26.02
E23,No Ct,30.28,28.39,No Ct
E24,No Ct,No Ct,No Ct,No Ct
E3,No Ct,29.68,No Ct,No Ct
E4,No Ct,No Ct,No Ct,No Ct
E5,No Ct,No Ct,27.22,No Ct
E6,27.47,No Ct,No Ct,25.53
E7,27.37,No Ct,No Ct,No Ct
E8,No Ct,No Ct,No Ct,No Ct
E9,27.4,No Ct,28.13,26.35
F1,No Ct,No Ct,27.18,26.69
F10,No Ct,No Ct,28.31,No Ct
F11,No Ct,No Ct,No Ct,25.89
F12,27.51,No Ct,No Ct,No Ct
F13,No Ct,No Ct,27.09,26.07
F14,No Ct,No Ct,No Ct,No Ct
F15,No Ct,29.59,No Ct,No Ct
F16,No Ct,No Ct,27.87,25.97
F17,No Ct,No Ct,No Ct,No Ct
F18,No Ct,29.54,No Ct,No Ct
F19,No Ct,No Ct,No Ct,26.44
F2,No Ct,No Ct,No Ct,No Ct
F20,No Ct,No Ct,No Ct,No Ct
F21,27.76,29.73,27.25,No Ct
F22,No Ct,No Ct,28.45,No Ct
F23,No Ct,No Ct,No Ct,25.6
F24,27.7,No Ct,No Ct,No Ct
F3,No Ct,29.71,No Ct,No Ct
F4,No Ct,No Ct,28.32,25.81
F5,No Ct,No Ct,No Ct,No Ct
F6,No Ct,29.63,No Ct,No Ct
F7,No Ct,No Ct,No Ct,26.32
F8,No Ct,No Ct,No Ct,No Ct
F9,27.85,29.67,27.02,No Ct
G1,28.42,31.92,29,26.53
G10,28.22,32.47,28.94,26.75
G11,27.94,32.1,28.69,26.67
G12,28.19,31.34,28.68,26.38
G13,28.44,32.54,29.15,26.3
G14,28.14,32.47,29.14,27.09
G15,28.41,32.39,29.2,26.73
G16,28.29,32.04,29.02,26.3
G17,27.79,32.2,28.92,26.3
G18,28.77,32.34,28.93,26.78
G19,28.09,32.38,29.02,26.99
G2,28.34,31.67,29.32,26.77
G20,28.18,32.6,29.03,26.8
G21,28.09,32.15,28.69,26.07
G22,28.42,30.64,29.21,27.32
G23,28.3,31.87,29.09,26.7
G24,28.33,32.19,28.82,26.42
G3,28.38,32.31,28.89,26.57
G4,28.22,31.73,28.84,26.6
G5,28.18,32.01,28.68,26.7
G6,28.27,31.9,28.93,26.74
G7,28.05,32.12,28.55,26.73
G8,28.3,31.81,29.34,26.76
G9,28.3,32.24,29.5,26.65
H1,28.31,32.12,28.77,27.11
H10,27.56,33.32,28.69,25.97
H11,28.43,33.03,29.25,26.82
H12,28.08,31.51,28.67,26.39
H13,27.95,32.79,29.2,26.72
H14,28.1,32.21,28.97,26.91
H15,28.28,32.64,28.72,26.36
H16,28.16,32.47,28.89,26.53
H17,28.18,32.76,28.38,26.19
H18,28.1,31.98,28.84,26.58
H19,28.1,31.86,29.16,26.64
H2,28.71,32.51,29.38,26.86
H20,28.03,33.31,29.2,27.29
H21,28.01,32.54,28.81,26.2
H22,28.56,31.59,29.04,26.99
H23,28.87,31.93,29.34,26.75
H24,28.33,32.03,29.16,26.51
H3,28.2,32.59,29.2,26.63
H4,28.64,32.02,29.06,26.76
H5,28.17,32.3,29.2,26.69
H6,28.06,32.79,28.97,26.57
H7,28.01,32.82,28.35,26.49
H8,28.07,31.8,28.8,26.46
H9,28.04,32.71,29.12,26.8
I1,27.23,No Ct,30.21,No Ct
I10,No Ct,No Ct,27.57,29.64
I11,No Ct,No Ct,No Ct,No Ct
I12,27.79,29.77,29.97,26.08
I13,27.21,No Ct,30.32,No Ct
I14,29.56,35.64,No Ct,25.96
I15,No Ct,No Ct,27.51,No Ct
I16,No Ct,No Ct,No Ct,No Ct
