well,ct
A1,28.56
F17,No Ct
E17,No Ct
D17,28.81
C17,No Ct
B17,No Ct
A17,28.91
P16,26.7
O16,25.46
N16,26.66
G17,25.4
M16,26.4
K16,26.76
J16,26.11
I16,26.96
H16,26.53
G16,25.46
F16,No Ct
E16,27.73
D16,No Ct
C16,No Ct
L16,26.84
B16,28.3
H17,26.4
J17,No Ct
N18,No Ct
M18,27.2
L18,26.38
K18,No Ct
J18,27.05
I18,25.99
H18,26.41
G18,25.38
F18,No Ct
I17,28.59
E18,No Ct
C18,No Ct
B18,No Ct
A18,No Ct
P17,26.68
O17,25.57
N17,No Ct
M17,No Ct
L17,28.83
K17,No Ct
D18,No Ct
O18,25.46
A16,No Ct
O15,25.68
F14,No Ct
E14,No Ct
D14,No Ct
C14,No Ct
B14,No Ct
A14,No Ct
P13,25.36
O13,25.6
N13,28.65
G14,25.33
M13,29.61
K13,28.19
J13,29.82
I13,No Ct
H13,25.47
G13,25.02
F13,28.49
E13,No Ct
D13,28.62
C13,29.04
L13,No Ct
P15,26.79
H14,25.43
J14,27.75
N15,No Ct
M15,No Ct
L15,30.04
K15,No Ct
J15,No Ct
I15,29.92
H15,26.47
G15,25.57
F15,25.11
I14,No Ct
E15,28.92
C15,24.97
B15,29.17
A15,No Ct
P14,25.49
O14,25.49
N14,No Ct
M14,27.46
L14,No Ct
K14,No Ct
D15,No Ct
B13,No Ct
P18,26.81
B19,No Ct
F23,No Ct
E23,No Ct
D23,26.05
C23,No Ct
B23,No Ct
A23,26.32
P22,26.67
O22,25.66
N22,No Ct
G23,25.51
M22,No Ct
K22,No Ct
J22,No Ct
I22,28.53
H22,26.76
G22,25.84
F22,25.92
E22,37.41
D22,No Ct
C22,26.43
L22,28.73
B22,No Ct
H23,26.87
J23,37.51
N24,No Ct
M24,28.74
L24,No Ct
K24,No Ct
J24,28.63
I24,No Ct
H24,26.68
G24,25.46
F24,29.52
I23,28.99
E24,No Ct
C24,29.91
B24,No Ct
A24,25.89
P23,26.69
O23,25.63
N23,26.35
M23,No Ct
L23,29.24
K23,26.18
D24,26.02
A19,25.51
A22,No Ct
O21,25.49
F20,No Ct
E20,28.74
D20,25.69
C20,No Ct
B20,28.96
A20,25.93
P19,26.47
O19,25.29
N19,28.38
G20,25.54
M19,No Ct
K19,28.06
J19,No Ct
I19,28.54
H19,26.55
G19,25.38
F19,No Ct
E19,No Ct
D19,25.4
C19,No Ct
L19,28.53
P21,26.52
H20,26.38
J20,No Ct
N21,26.88
M21,25.17
L21,No Ct
K21,26.82
J21,25.19
I21,No Ct
H21,26.35
G21,25.4
F21,25.63
I20,27.27
E21,29.13
C21,26.18
B21,28.97
A21,No Ct
P20,26.9
O20,25.76
N20,No Ct
M20,No Ct
L20,27.78
K20,No Ct
D21,No Ct
A13,29.22
P12,26.77
O12,25.66
E5,No Ct
D5,29.2
C5,No Ct
B5,No Ct
A5,28.64
P4,26.62
O4,25.76
N4,27.06
M4,26.33
F5,No Ct
L4,27.14
J4,25.91
I4,26.27
H4,26.51
G4,25.65
F4,No Ct
E4,28.28
D4,No Ct
C4,No Ct
B4,27.76
K4,26.86
A4,No Ct
G5,25.84
I5,28.96
M6,27.32
L6,26.55
K6,No Ct
J6,27.09
I6,26.09
H6,26.52
G6,25.42
F6,No Ct
E6,No Ct
H5,26.65
D6,No Ct
B6,No Ct
A6,No Ct
P5,26.8
O5,25.72
N5,No Ct
M5,No Ct
L5,29.34
K5,No Ct
J5,No Ct
C6,No Ct
N6,No Ct
P3,26.72
N3,No Ct
E2,No Ct
D2,No Ct
C2,No Ct
B2,No Ct
A2,No Ct
P1,25.82
O1,25.81
N1,28.95
M1,29.32
F2,No Ct
L1,No Ct
J1,30.2
I1,No Ct
H1,25.52
G1,25.2
F1,28.85
E1,No Ct
D1,28.62
C1,29.59
B1,No Ct
K1,28.63
O3,25.76
G2,25.67
I2,No Ct
M3,No Ct
L3,30.22
K3,No Ct
J3,No Ct
I3,29.88
H3,26.69
G3,25.74
F3,25.22
E3,29.02
H2,25.46
D3,No Ct
B3,29.52
A3,No Ct
P2,25.81
O2,25.63
N2,No Ct
M2,27.6
L2,No Ct
K2,No Ct
J2,27.75
C3,25.32
O6,25.74
P6,26.77
A7,25.7
F11,No Ct
E11,No Ct
D11,25.82
C11,No Ct
B11,No Ct
A11,25.94
P10,26.49
O10,25.59
N10,No Ct
G11,25.56
M10,No Ct
K10,No Ct
J10,No Ct
I10,28.55
H10,26.43
G10,25.47
F10,25.61
E10,No Ct
D10,No Ct
C10,26.21
L10,28.6
B10,No Ct
H11,26.64
J11,No Ct
N12,No Ct
M12,28.31
L12,No Ct
K12,No Ct
J12,28.15
I12,No Ct
H12,26.43
G12,25.14
F12,29.06
I11,29.02
E12,No Ct
C12,29.91
B12,No Ct
A12,25.76
P11,26.54
O11,25.69
N11,26.18
M11,No Ct
L11,28.55
