well,ct
A1,27.7
F17,25.33
E17,26.88
D17,No Ct
C17,26.05
B17,26.9
A17,No Ct
P16,26.83
O16,25.63
N16,25.75
G17,25.73
M16,25.44
K16,25.69
J16,25.19
I16,No Ct
H16,26.51
G16,25.47
F16,26.77
E16,No Ct
D16,No Ct
C16,27.53
L16,No Ct
B16,No Ct
H17,26.64
J17,No Ct
N18,No Ct
M18,26.66
L18,No Ct
K18,No Ct
J18,26.42
I18,No Ct
H18,26.49
G18,25.8
F18,No Ct
I17,26.34
E18,No Ct
C18,No Ct
B18,No Ct
A18,25.71
P17,26.57
O17,25.61
N17,No Ct
M17,No Ct
L17,26.45
K17,No Ct
D18,25.34
O18,26.11
A16,No Ct
O15,25.58
F14,No Ct
E14,27.85
D14,27.1
C14,No Ct
B14,27.55
A14,26.67
P13,25.82
O13,25.76
N13,25.7
G14,No Ct
M13,No Ct
K13,25.36
J13,No Ct
I13,25.15
H13,25.7
G13,25.37
F13,No Ct
E13,No Ct
D13,27.94
C13,No Ct
L13,25.34
P15,26.63
H14,25.62
J14,No Ct
N15,No Ct
M15,26.27
L15,26.38
K15,No Ct
J15,25.71
I15,25.44
H15,26.3
G15,25.92
F15,27.08
I14,26.38
E15,No Ct
C15,28
B15,No Ct
A15,No Ct
P14,25.17
O14,25.35
N14,25.85
M14,No Ct
L14,26.31
K14,25.77
D15,No Ct
B13,No Ct
P18,26.8
B19,No Ct
F23,No Ct
E23,27.95
D23,No Ct
C23,No Ct
B23,28.22
A23,No Ct
P22,26.56
O22,25.38
N22,25.12
G23,25.86
M22,25.16
K22,25.14
J22,25.39
I22,No Ct
H22,26.71
G22,25.83
F22,No Ct
E22,No Ct
D22,25.71
C22,No Ct
L22,No Ct
B22,No Ct
H23,26.98
J23,No Ct
N24,No Ct
M24,No Ct
L24,26.43
K24,No Ct
J24,No Ct
I24,26.11
H24,26.5
G24,25.42
F24,No Ct
I23,No Ct
E24,25.41
C24,No Ct
B24,25.72
A24,No Ct
P23,26.8
O23,25.79
N23,26.44
M23,No Ct
L23,No Ct
K23,26.43
D24,No Ct
A19,No Ct
A22,25.47
O21,25.71
F20,28.24
E20,No Ct
D20,No Ct
C20,28.54
B20,No Ct
A20,No Ct
