,amount,well
1,75,A1
2,0,A2
3,0,A3
4,0,A4
5,100,A5
6,0,A6
7,925,A7
8,775,A8
9,0,A9
10,0,A10
11,775,A11
12,850,A12
13,0,B1
14,0,B2
15,75,B3
16,175,B4
17,0,B5
18,0,B6
19,0,B7
20,100,B8
21,75,B9
22,0,B10
23,0,B11
24,0,B12
25,75,C1
26,0,C2
27,1625,C3
28,0,C4
29,0,C5
30,0,C6
31,0,C7
32,0,C8
33,950,C9
34,850,C10
35,0,C11
36,75,C12
37,75,D1
38,0,D2
39,0,D3
40,0,D4
41,100,D5
42,0,D6
43,925,D7
44,775,D8
45,0,D9
46,0,D10
47,775,D11
48,850,D12
49,0,E1
50,0,E2
51,75,E3
52,175,E4
53,0,E5
54,0,E6
55,0,E7
56,100,E8
57,75,E9
58,0,E10
59,0,E11
60,0,E12
61,75,F1
62,0,F2
63,1625,F3
64,0,F4
65,0,F5
66,0,F6
67,0,F7
68,0,F8
69,950,F9
70,850,F10
71,0,F11
72,75,F12
73,NA,G1
74,NA,G2
75,NA,G3
76,NA,G4
77,NA,G5
78,NA,G6
79,NA,G7
80,NA,G8
81,NA,G9
82,NA,G10
83,NA,G11
84,NA,G12
85,NA,H1
86,NA,H2
87,500,H3
88,500,H4
89,500,H5
90,500,H6
91,500,H7
92,500,H8
93,500,H9
94,500,H10
95,500,H11
96,500,H12
97,75,A13
98,0,A14
99,0,A15
100,0,A16
101,100,A17
102,0,A18
103,925,A19
104,775,A20
105,0,A21
106,0,A22
107,775,A23
108,850,A24
109,0,B13
110,0,B14
111,75,B15
112,175,B16
113,0,B17
114,0,B18
115,0,B19
116,100,B20
117,75,B21
118,0,B22
119,0,B23
120,0,B24
121,75,C13
122,0,C14
123,1625,C15
124,0,C16
125,0,C17
126,0,C18
127,0,C19
128,0,C20
129,950,C21
130,850,C22
131,0,C23
132,75,C24
133,75,D13
134,0,D14
135,0,D15
136,0,D16
137,100,D17
138,0,D18
139,925,D19
140,775,D20
141,0,D21
142,0,D22
143,775,D23
144,850,D24
145,0,E13
146,0,E14
147,75,E15
148,175,E16
149,0,E17
150,0,E18
151,0,E19
152,100,E20
153,75,E21
154,0,E22
155,0,E23
156,0,E24
157,75,F13
158,0,F14
159,1625,F15
160,0,F16
161,0,F17
162,0,F18
163,0,F19
164,0,F20
165,950,F21
166,850,F22
167,0,F23
168,75,F24
169,NA,G13
170,NA,G14
171,NA,G15
172,NA,G16
173,NA,G17
174,NA,G18
175,NA,G19
176,NA,G20
177,NA,G21
178,NA,G22
179,NA,G23
180,NA,G24
181,NA,H13
182,NA,H14
183,500,H15
184,500,H16
185,500,H17
186,500,H18
187,500,H19
188,500,H20
189,500,H21
190,500,H22
191,500,H23
192,500,H24
193,0,I1
194,0,I2
195,50,I3
196,375,I4
197,100,I5
198,650,I6
199,125,I7
200,325,I8
201,0,I9
202,125,I10
203,100,I11
204,0,I12
205,50,J1
206,325,J2
207,0,J3
208,650,J4
209,0,J5
210,375,J6
211,0,J7
212,0,J8
213,1350,J9
214,0,J10
215,0,J11
216,150,J12
217,125,K1
218,0,K2
219,0,K3
220,425,K4
221,0,K5
222,0,K6
223,125,K7
224,0,K8
225,375,K9
226,0,K10
227,700,K11
228,0,K12
229,0,L1
230,0,L2
231,50,L3
232,375,L4
233,100,L5
234,650,L6
235,125,L7
236,325,L8
237,0,L9
238,125,L10
239,100,L11
240,0,L12
241,50,M1
242,325,M2
243,0,M3
244,650,M4
245,0,M5
246,375,M6
247,0,M7
248,0,M8
249,1350,M9
250,0,M10
251,0,M11
252,150,M12
253,125,N1
254,0,N2
255,0,N3
256,425,N4
257,0,N5
258,0,N6
259,125,N7
260,0,N8
261,375,N9
262,0,N10
263,700,N11
264,0,N12
265,NA,O1
266,NA,O2
267,NA,O3
268,NA,O4
269,NA,O5
270,NA,O6
271,NA,O7
272,NA,O8
273,NA,O9
274,NA,O10
275,NA,O11
276,NA,O12
277,NA,P1
278,NA,P2
279,500,P3
280,500,P4
281,500,P5
282,500,P6
283,500,P7
284,500,P8
285,500,P9
286,500,P10
287,500,P11
288,500,P12
289,0,I13
290,0,I14
291,50,I15
292,375,I16
293,100,I17
294,650,I18
295,125,I19
296,325,I20
297,0,I21
298,125,I22
299,100,I23
300,0,I24
301,50,J13
302,325,J14
303,0,J15
304,650,J16
305,0,J17
306,375,J18
307,0,J19
308,0,J20
309,1350,J21
310,0,J22
311,0,J23
312,150,J24
313,125,K13
314,0,K14
315,0,K15
316,425,K16
317,0,K17
318,0,K18
319,125,K19
320,0,K20
321,375,K21
322,0,K22
323,700,K23
324,0,K24
325,0,L13
326,0,L14
327,50,L15
328,375,L16
329,100,L17
330,650,L18
331,125,L19
332,325,L20
333,0,L21
334,125,L22
335,100,L23
336,0,L24
337,50,M13
338,325,M14
339,0,M15
340,650,M16
341,0,M17
342,375,M18
343,0,M19
344,0,M20
345,1350,M21
346,0,M22
347,0,M23
348,150,M24
349,125,N13
350,0,N14
351,0,N15
352,425,N16
353,0,N17
354,0,N18
355,125,N19
356,0,N20
357,375,N21
358,0,N22
359,700,N23
360,0,N24
361,NA,O13
362,NA,O14
363,NA,O15
364,NA,O16
365,NA,O17
366,NA,O18
367,NA,O19
368,NA,O20
369,NA,O21
370,NA,O22
371,NA,O23
372,NA,O24
373,NA,P13
374,NA,P14
375,500,P15
376,500,P16
377,500,P17
378,500,P18
379,500,P19
380,500,P20
381,500,P21
382,500,P22
383,500,P23
384,500,P24
