,amount,well
1,200,A1
2,375,A2
3,0,A3
4,0,A4
5,0,A5
6,1275,A6
7,0,A7
8,0,A8
9,0,A9
10,1275,A10
11,0,A11
12,0,A12
13,0,B1
14,200,B2
15,0,B3
16,0,B4
17,375,B5
18,0,B6
19,0,B7
20,0,B8
21,0,B9
22,0,B10
23,200,B11
24,1275,B12
25,0,C1
26,0,C2
27,375,C3
28,375,C4
29,1275,C5
30,0,C6
31,0,C7
32,200,C8
33,0,C9
34,0,C10
35,0,C11
36,0,C12
37,200,D1
38,375,D2
39,0,D3
40,0,D4
41,0,D5
42,1275,D6
43,0,D7
44,0,D8
45,0,D9
46,1275,D10
47,0,D11
48,0,D12
49,0,E1
50,200,E2
51,0,E3
52,0,E4
53,375,E5
54,0,E6
55,0,E7
56,0,E8
57,0,E9
58,0,E10
59,200,E11
60,1275,E12
61,0,F1
62,0,F2
63,375,F3
64,375,F4
65,1275,F5
66,0,F6
67,0,F7
68,200,F8
69,0,F9
70,0,F10
71,0,F11
72,0,F12
73,NA,G1
74,NA,G2
75,NA,G3
76,NA,G4
77,NA,G5
78,NA,G6
79,NA,G7
80,NA,G8
81,NA,G9
82,NA,G10
83,NA,G11
84,NA,G12
85,NA,H1
86,NA,H2
87,500,H3
88,500,H4
89,500,H5
90,500,H6
91,500,H7
92,500,H8
93,500,H9
94,500,H10
95,500,H11
96,500,H12
97,200,A13
98,375,A14
99,0,A15
100,0,A16
101,0,A17
102,1275,A18
103,0,A19
104,0,A20
105,0,A21
106,1275,A22
107,0,A23
108,0,A24
109,0,B13
110,200,B14
111,0,B15
112,0,B16
113,375,B17
114,0,B18
115,0,B19
116,0,B20
117,0,B21
118,0,B22
119,200,B23
120,1275,B24
121,0,C13
122,0,C14
123,375,C15
124,375,C16
125,1275,C17
126,0,C18
127,0,C19
128,200,C20
129,0,C21
130,0,C22
131,0,C23
132,0,C24
133,200,D13
134,375,D14
135,0,D15
136,0,D16
137,0,D17
138,1275,D18
139,0,D19
140,0,D20
141,0,D21
142,1275,D22
143,0,D23
144,0,D24
145,0,E13
146,200,E14
147,0,E15
148,0,E16
149,375,E17
150,0,E18
151,0,E19
152,0,E20
153,0,E21
154,0,E22
155,200,E23
156,1275,E24
157,0,F13
158,0,F14
159,375,F15
160,375,F16
161,1275,F17
162,0,F18
163,0,F19
164,200,F20
165,0,F21
166,0,F22
167,0,F23
168,0,F24
169,NA,G13
170,NA,G14
171,NA,G15
172,NA,G16
173,NA,G17
174,NA,G18
175,NA,G19
176,NA,G20
177,NA,G21
178,NA,G22
179,NA,G23
180,NA,G24
181,NA,H13
182,NA,H14
183,500,H15
184,500,H16
185,500,H17
186,500,H18
187,500,H19
188,500,H20
189,500,H21
190,500,H22
191,500,H23
192,500,H24
193,1425,I1
194,750,I2
195,975,I3
196,0,I4
197,650,I5
198,0,I6
199,0,I7
200,0,I8
201,0,I9
202,0,I10
203,0,I11
204,750,I12
205,0,J1
206,0,J2
207,975,J3
208,1425,J4
209,0,J5
210,650,J6
211,0,J7
212,0,J8
213,0,J9
214,1400,J10
215,0,J11
216,0,J12
217,1425,K1
218,975,K2
219,0,K3
220,975,K4
221,0,K5
222,0,K6
223,0,K7
224,750,K8
225,0,K9
226,1425,K10
227,650,K11
228,0,K12
229,1425,L1
230,750,L2
231,975,L3
232,0,L4
233,650,L5
234,0,L6
235,0,L7
236,0,L8
237,0,L9
238,0,L10
239,0,L11
240,750,L12
241,0,M1
242,0,M2
243,975,M3
244,1425,M4
245,0,M5
246,650,M6
247,0,M7
248,0,M8
249,0,M9
250,1400,M10
251,0,M11
252,0,M12
253,1425,N1
254,975,N2
255,0,N3
256,975,N4
257,0,N5
258,0,N6
259,0,N7
260,750,N8
261,0,N9
262,1425,N10
263,650,N11
264,0,N12
265,NA,O1
266,NA,O2
267,NA,O3
268,NA,O4
269,NA,O5
270,NA,O6
271,NA,O7
272,NA,O8
273,NA,O9
274,NA,O10
275,NA,O11
276,NA,O12
277,NA,P1
278,NA,P2
279,500,P3
280,500,P4
281,500,P5
282,500,P6
283,500,P7
284,500,P8
285,500,P9
286,500,P10
287,500,P11
288,500,P12
289,1425,I13
290,750,I14
291,975,I15
292,0,I16
293,650,I17
294,0,I18
295,0,I19
296,0,I20
297,0,I21
298,0,I22
299,0,I23
300,750,I24
301,0,J13
302,0,J14
303,975,J15
304,1425,J16
305,0,J17
306,650,J18
307,0,J19
308,0,J20
309,0,J21
310,1400,J22
311,0,J23
312,0,J24
313,1425,K13
314,975,K14
315,0,K15
316,975,K16
317,0,K17
318,0,K18
319,0,K19
320,750,K20
321,0,K21
322,1425,K22
323,650,K23
324,0,K24
325,1425,L13
326,750,L14
327,975,L15
328,0,L16
329,650,L17
330,0,L18
331,0,L19
332,0,L20
333,0,L21
334,0,L22
335,0,L23
336,750,L24
337,0,M13
338,0,M14
339,975,M15
340,1425,M16
341,0,M17
342,650,M18
343,0,M19
344,0,M20
345,0,M21
346,1400,M22
347,0,M23
348,0,M24
349,1425,N13
350,975,N14
351,0,N15
352,975,N16
353,0,N17
354,0,N18
355,0,N19
356,750,N20
357,0,N21
358,1425,N22
359,650,N23
360,0,N24
361,NA,O13
362,NA,O14
363,NA,O15
364,NA,O16
365,NA,O17
366,NA,O18
367,NA,O19
368,NA,O20
369,NA,O21
370,NA,O22
371,NA,O23
372,NA,O24
373,NA,P13
374,NA,P14
375,500,P15
376,500,P16
377,500,P17
378,500,P18
379,500,P19
380,500,P20
381,500,P21
382,500,P22
383,500,P23
384,500,P24
